id,date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,statut,releve
70050568307080,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 19:52
70153738472180,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 18:42
70184017519180,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 11:49
70269290157540,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 17:41
69915407855140,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 23:46
46942366471640,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 13:12
47052598198620,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 21:47
47077052592880,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 14:19
47202331665740,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 00:06
47254574460140,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 22:33
47442683481540,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 22:47
69869766073660,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 23:33
69880789258060,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 18:47
69914961469060,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 16:12
69924623380000,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 09:25
69993163182960,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 20:29
70013488439320,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 10:54
70050568299540,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 19:52
70153738454320,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 18:42
70184017601240,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 11:49
70269290219420,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 17:41
69915407829920,2026-06-07,Dimanche,17:00,17:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 23:46
46942367134120,2026-06-08,Lundi,08:00,08:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-06 13:12
47052597985760,2026-06-08,Lundi,08:00,08:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-06 21:47
47077052354980,2026-06-08,Lundi,08:00,08:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-06 14:19
